num,subject,relation,object
1134,许玮伦,旧爱,周渝民
1135,三浦春马,绯闻,新垣结衣
1136,黄征,绯闻,江珊
1136,黄征,绯闻,厉娜
1136,黄征,绯闻,金海心
1136,黄征,好友,陈羽凡
1136,黄征,好友,胡海泉
1137,叶玉卿,密友,吴绮莉
1138,黄勇,师徒,那英
1139,任青,绯闻,汪涵
1140,孙耀威,旧爱,应采儿
1140,孙耀威,绯闻,杨秀惠
1140,孙耀威,情侣,陈美诗
1141,翁倩玉,好友,成龙
1141,翁倩玉,旧爱,秦沛
1142,那英,好友,毛阿敏
1142,那英,师徒,侯祖辛
1142,那英,师徒,卓义峰
1142,那英,好友,孙楠
1142,那英,师徒,梁博
1142,那英,师徒,张玮
1142,那英,师徒,多亮
1142,那英,师徒,赵露
1142,那英,好友,满文军
1142,那英,师徒,张赫宣
1142,那英,好友,陈琳
1142,那英,师徒,歌浴森
1142,那英,师徒,黄勇
1142,那英,师徒,黄鹤
1142,那英,师徒,汪妤凌
1142,那英,师徒,王琪玮
1142,那英,密友,王菲
1142,那英,好友,李亚鹏
1143,陈慧珊,绯闻,马德钟
1143,陈慧珊,绯闻,林保怡
1143,陈慧珊,好友,蔡少芬
1143,陈慧珊,好友,郭可盈
1144,冯远征,夫妻,梁丹妮
1145,黄光熙,组合,任时完
1146,欧阳震华,好友,郭政鸿
1147,猪哥亮,父女,谢金燕
1148,刘雪华,密友,琼瑶
1148,刘雪华,旧爱,刘德凯
1148,刘雪华,旧爱,张佩华
1149,方力申,绯闻,钟欣潼
1149,方力申,情侣,邓丽欣
1149,方力申,绯闻,陈自瑶
1149,方力申,好友,司徒瑞祈
1149,方力申,同门,周笔畅
1150,张柏芝,好友,范玮琪
1150,张柏芝,旧爱,陈小春
1150,张柏芝,绯闻,郑伊健
1150,张柏芝,绯闻,古天乐
1150,张柏芝,干父女,赵本山
1150,张柏芝,好友,陈建州
1150,张柏芝,好友,熊黛林
1151,关心妍,好友,杨千嬅
1151,关心妍,好友,王祖蓝
1151,关心妍,绯闻,萧正楠
1152,周家蔚,翁媳,洪金宝
1152,周家蔚,夫妻,洪天明
1153,张茜,夫妻,张卫健
1154,金城武,绯闻,杨采妮
1155,王元也,父子,王中磊
1156,王菁,夫妻,何炅
1157,陈琳,好友,张蔷
1157,陈琳,好友,那英
1157,陈琳,好友,杨坤
1157,陈琳,好友,满文军
1158,袁姗姗,好友,赵丽颖
1158,袁姗姗,好友,于正
1158,袁姗姗,好友,孙菲菲
1158,袁姗姗,好友,海陆
1158,袁姗姗,好友,杨幂
1158,袁姗姗,好友,冯绍峰
1159,李在元,拍档,安七炫
1159,李在元,拍档,张佑赫
1159,李在元,拍档,安胜浩
1159,李在元,拍档,文熙俊
1160,卓文萱,绯闻,曹格
1161,梁洛施,好友,杨丞琳
1161,梁洛施,干父女,黄秋生
1161,梁洛施,好友,杜汶泽
1161,梁洛施,好友,钟欣潼
1161,梁洛施,绯闻,陈柏霖
1161,梁洛施,好友,陈意涵
1161,梁洛施,好友,张致恒
1162,黄长兴,绯闻,曹敏莉
1162,黄长兴,兄弟,黄长发
1163,关悦,同学,车晓
1164,官恩娜,绯闻,吴卓羲
1165,孙淳,拍档,焦俊艳
1165,孙淳,兄弟,孙周
1165,孙淳,拍档,尚于博
1166,古巨基,密友,周慧敏
1166,古巨基,绯闻,陈英雪
1167,周华健,拍档,张震岳
1168,朴敏英,旧爱,李敏镐
1169,陈百祥,好友,曾志伟
1169,陈百祥,好友,谭咏麟
1170,张瑞希,好友,李英爱
1171,郝蕾,旧爱,邓超
1171,郝蕾,绯闻,郭家铭
1171,郝蕾,密友,黄奕
1171,郝蕾,同学,聂远
1171,郝蕾,前任夫妻,李光洁
1171,郝蕾,好友,陈坤
1172,郭德纲,师徒,何云伟
1172,郭德纲,师徒,欧弟
1172,郭德纲,拍档,夏凡
1172,郭德纲,师徒,张云雷
1172,郭德纲,师徒,岳云鹏
1172,郭德纲,师徒,栾云平
1172,郭德纲,师徒,曹云金
1172,郭德纲,师徒,韩鹤晓
1173,田中裕子,拍档,张博
1174,马晓晴,绯闻,姜文
1175,利特,组员,super junior
1176,黄奕,绯闻,韩庚
1176,黄奕,密友,郝蕾
1176,黄奕,旧爱,聂远
1177,杰西卡·斯佐尔,情侣,艾德·维斯特维克
1178,姜武,兄弟,姜文
1178,姜武,同学,黄磊
1179,陈山聪,绯闻,徐淑敏
1180,黄维德,绯闻,伊能静
1181,霍建华,绯闻,关之琳
1181,霍建华,绯闻,叶璇
1181,霍建华,绯闻,林心如
1181,霍建华,旧爱,陈乔恩
1181,霍建华,好友,杨幂
1181,霍建华,好友,胡歌
1182,王全安,夫妻,张雨绮
1182,王全安,绯闻,余男
1182,王全安,同学,张嘉译
1182,王全安,同学,张子健
1182,王全安,同学,孔琳
1183,曾之乔,绯闻,明道
1184,张成源,兄妹,张娜拉
1185,邹廷威,同学,白百何
1186,容祖儿,密友,钟欣潼
1186,容祖儿,情侣,刘浩龙
1186,容祖儿,好友,郑希怡
1186,容祖儿,师徒,罗文
1187,梁家辉,好友,张曼玉
1187,梁家辉,好友,张国荣
1188,费翔,旧爱,叶倩文
1189,钱枫,旧爱,孙俪
1190,陶大宇,绯闻,郭羡妮
1190,陶大宇,好友,郭政鸿
1191,李羲儿,绯闻,潘粤明
1192,张博,拍档,田中裕子
1192,张博,拍档,林心如
1192,张博,拍档,何润东
1192,张博,拍档,陆毅
1192,张博,同学,白百何
1192,张博,拍档,陈好
1192,张博,拍档,陈建斌
1192,张博,拍档,殷桃
1192,张博,情侣,谭维维
1192,张博,拍档,张丰毅
1192,张博,绯闻,江珊
1193,金钟云,组员,super junior
1194,林永健,夫妻,周冬齐
1195,王力宏,绯闻,舒淇
1195,王力宏,好友,李玟
1195,王力宏,绯闻,李云迪
1195,王力宏,绯闻,汤唯
1195,王力宏,绯闻,张惠妹
1195,王力宏,好友,陈建州
1196,钟丽缇,旧爱,申贤俊
1196,钟丽缇,绯闻,郭富城
1197,李心洁,好友,刘涛
1198,林保怡,好友,蒙嘉慧
1198,林保怡,绯闻,陈慧珊
1199,苏醒,绯闻,孙骁骁
1199,苏醒,好友,魏晨
1200,李小鹏,夫妻,李安琪
1201,陈冠希,好友,周杰伦
1201,陈冠希,干父子,黄秋生
1201,陈冠希,绯闻,文咏珊
1201,陈冠希,同学,谢霆锋
1201,陈冠希,绯闻,周秀娜
1201,陈冠希,旧爱,谢芷蕙
1201,陈冠希,绯闻,李美琪
1202,刘德华,绯闻,关之琳
1202,刘德华,好友,杜汶泽
1202,刘德华,绯闻,梅艳芳
1202,刘德华,夫妻,朱丽倩
1202,刘德华,绯闻,陈玉莲
1202,刘德华,好友,李克勤
1202,刘德华,旧爱,喻可欣
1202,刘德华,绯闻,潘宏彬
1202,刘德华,干母子,叶德娴
1202,刘德华,好友,黄日华
1202,刘德华,好友,熊黛林
1203,苑琼丹,好友,曾志伟
1203,苑琼丹,好友,袁咏仪
1203,苑琼丹,旧爱,林正英
1203,苑琼丹,好友,伍咏薇
1203,苑琼丹,好友,汤盈盈
1203,苑琼丹,好友,李国麟
1204,向华强,叔侄,向海岚
1204,向华强,绯闻,张敏
1205,颜丹晨,同学,孔维
1205,颜丹晨,同学,何琳
1205,颜丹晨,同学,张恒
1205,颜丹晨,同学,许还幻
1205,颜丹晨,同学,黄晓明
1205,颜丹晨,同学,陈坤
1205,颜丹晨,同学,祖峰
1206,池珍熙,好友,廉晶雅
1207,金巧巧,旧爱,吴启华
1208,崔智友,旧爱,宋承宪
1208,崔智友,绯闻,李秉宪
1208,崔智友,绯闻,裴勇俊
1208,崔智友,绯闻,申贤俊
1208,崔智友,旧爱,李阵郁
1209,霍思燕,密友,杨幂
1210,多亮,师徒,那英
1211,李美琪,绯闻,陈冠希
1211,李美琪,旧爱,吴彦祖
1212,王今铎,同学,柴碧云
1213,金俊秀,拍档,朴有天
1213,金俊秀,拍档,金在中
1213,金俊秀,拍档,郑允浩
1213,金俊秀,拍档,沈昌珉
1214,许冠英,兄弟,许冠杰
1215,申东熙,组员,super junior
1216,曾恺玹,绯闻,周杰伦
1217,郭政鸿,好友,欧阳震华
1217,郭政鸿,好友,陶大宇
1218,酒井法子,好友,木村拓哉
1218,酒井法子,好友,松岛菜菜子
1219,洪天明,旧爱,徐子淇
1219,洪天明,夫妻,周家蔚
1219,洪天明,绯闻,于娜
1219,洪天明,父子,洪金宝
1220,陈妍希,情侣,陈晓
1221,梅艳芳,密友,张国荣
1221,梅艳芳,好友,张学友
1221,梅艳芳,干姐弟,谢霆锋
1221,梅艳芳,绯闻,刘德华
1221,梅艳芳,师徒,何韵诗
1221,梅艳芳,师徒,许志安
1221,梅艳芳,绯闻,陶喆
1221,梅艳芳,师徒,谭耀文
1221,梅艳芳,绯闻,苗侨伟
1221,梅艳芳,师徒,彭敬慈
1221,梅艳芳,旧爱,赵文卓
1222,张玮琪,师徒,杨坤
1223,沙溢,夫妻,胡可
1223,沙溢,好友,姚晨
1224,阿杜,好友,林俊杰
1225,王紫逸,父子,巍子
1226,保剑锋,同学,杨明娜
1226,保剑锋,同学,马伊琍
1226,保剑锋,旧爱,秦岚
1227,刘锡明,绯闻,周慧敏
1228,滕文骥,父子,滕华涛
1229,郎昆,前任夫妻,马艳丽
1230,刘家良,绯闻,惠英红
1230,刘家良,干兄弟,刘家辉
1230,刘家良,兄弟,刘家荣
1231,黄嘉千,夫妻,夏克立
1232,毛晓彤,情侣,陈翔
